Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,$/MWh,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Load_MW_z1,Load_MW_z2,Load_MW_z3,Load_MW_z4,Load_MW_z5,Load_MW_z6
,,,,,,,,95,13557,21209,11205,24693,17695,10994
,,,,,,,,96,13169,20602,11215,25087,17054,10861
,,,,,,,,97,12681,19839,11091,25114,16295,10962
,,,,,,,,98,12554,19640,10886,24360,15816,10668
,,,,,,,,99,11978,18740,10486,23322,15197,10307
,,,,,,,,100,11299,17671,10112,22460,14733,10073
,,,,,,,,101,10268,16128,9751,21095,14570,9781
,,,,,,,,102,8710,14031,9396,19154,14364,9330
,,,,,,,,103,6972,11621,9062,17533,14431,8677
,,,,,,,,104,5605,9777,8885,16554,14678,8682
,,,,,,,,105,5082,9089,9042,16198,15442,8622
,,,,,,,,106,4760,8652,8877,15434,15592,8763
,,,,,,,,107,4914,8889,8892,15341,15847,8993
,,,,,,,,108,5392,9557,8888,15321,16021,9071
,,,,,,,,109,5983,10438,8910,15485,16082,9403
,,,,,,,,110,7046,12017,9065,15995,16296,9735
,,,,,,,,111,8505,14188,9406,17115,16825,10102
,,,,,,,,112,10336,16844,9752,18062,17385,10147
,,,,,,,,113,11556,18342,9871,18640,17689,10290
,,,,,,,,114,12152,19013,10303,19627,18158,10447
,,,,,,,,115,12489,19540,10534,20261,18126,10601
,,,,,,,,116,12767,19972,10950,20921,18182,11005
,,,,,,,,117,13387,20944,11136,21564,18193,11160
,,,,,,,,118,13450,21040,11217,22401,17846,11098
,,,,,,,,119,13073,20452,11107,22722,16894,11238
,,,,,,,,120,12917,20208,11237,23123,16290,11202
,,,,,,,,121,9800,15331,7855,13597,16417,8764
,,,,,,,,122,9664,15118,7727,13480,16436,8744
,,,,,,,,123,9271,14504,7630,13282,15750,8479
,,,,,,,,124,8824,13805,7567,13188,15519,8506
,,,,,,,,125,8677,13575,7703,13550,16042,8477
,,,,,,,,126,8674,13583,8122,14000,16372,8392
,,,,,,,,127,8228,13567,8763,13882,16883,8738
,,,,,,,,128,8228,14367,9171,13696,18432,8781
,,,,,,,,129,7618,15026,9290,13688,18887,8938
,,,,,,,,130,7613,15564,9428,13821,19479,8978
,,,,,,,,131,7740,15951,9578,13879,19469,9231
,,,,,,,,132,8234,16726,9642,14229,20206,9400
,,,,,,,,133,8989,16972,9825,14705,20626,9888
,,,,,,,,134,10553,17693,10172,15501,21241,10378
,,,,,,,,135,12296,19403,10329,15729,23126,10579
,,,,,,,,136,12516,19581,10388,15823,22972,10694
,,,,,,,,137,12368,19348,10581,16539,23259,10832
,,,,,,,,138,12871,20136,10772,16977,22719,10989
,,,,,,,,139,12914,20204,10468,16747,22876,10590
,,,,,,,,140,12576,19674,10213,16415,21659,10269
,,,,,,,,141,12360,19336,9912,15811,20834,9823
,,,,,,,,142,11891,18603,9303,14846,20172,9400
,,,,,,,,143,10998,17206,8694,14181,18621,9069
,,,,,,,,144,10229,16004,8273,13697,17262,8875
,,,,,,,,145,9721,15209,8166,13530,16862,8987
,,,,,,,,146,9496,14857,8000,13341,16888,8897
,,,,,,,,147,9181,14364,7934,13125,16177,8615
,,,,,,,,148,8896,13917,7895,13092,15920,8649
,,,,,,,,149,8945,13993,8008,13492,16424,8671
,,,,,,,,150,8572,12486,8363,13892,16474,8664
,,,,,,,,151,6964,10140,8962,13193,16862,9049
,,,,,,,,152,6162,9577,9325,12496,18466,9237
,,,,,,,,153,5915,9630,9533,12126,18917,9432
,,,,,,,,154,6029,10085,9604,12033,19429,9272
,,,,,,,,155,6165,10431,9703,12080,19450,9570
,,,,,,,,156,7005,11648,9753,12422,20186,9723
,,,,,,,,157,8021,13046,9807,13059,20374,9981
,,,,,,,,158,9774,15431,10220,14232,21229,10518
,,,,,,,,159,12249,19076,10421,14981,22983,10678
,,,,,,,,160,12563,19655,10460,15685,22846,10827
,,,,,,,,161,12438,19460,10608,16285,23176,10897
,,,,,,,,162,12941,20245,10668,16621,22425,11016
,,,,,,,,163,12914,20204,10258,16290,22416,10553
,,,,,,,,164,12424,19436,10019,15984,21128,10280
,,,,,,,,165,12023,18808,9807,15621,20358,10088
,,,,,,,,166,11721,18338,9278,14914,19994,9548
,,,,,,,,167,11119,17395,8750,14365,19015,9127
,,,,,,,,168,10311,16130,8310,13647,17703,8850
,,,,,,,,169,9623,15054,8014,13333,16632,9029
,,,,,,,,170,9431,14755,7781,13087,16480,8828
,,,,,,,,171,8974,14039,7668,12773,15578,8565
,,,,,,,,172,8527,13341,7568,12521,15157,8598
,,,,,,,,173,8403,13147,7485,12586,15373,8366
,,,,,,,,174,7758,11792,7632,12599,14822,8221
,,,,,,,,175,5750,9291,8107,12578,14827,8264
,,,,,,,,176,4760,8151,8453,12100,16475,8275
,,,,,,,,177,4182,7675,8824,11596,17638,8563
,,,,,,,,178,4361,8170,9043,11230,18654,8621
,,,,,,,,179,4689,8910,9259,11255,18691,9132
,,,,,,,,180,6093,10785,9462,11641,19771,9208
,,,,,,,,181,7009,11725,9503,12061,19708,9530
,,,,,,,,182,8696,13837,9705,12961,20248,9950
,,,,,,,,183,10880,16814,9701,13629,21326,10265
,,,,,,,,184,10893,17040,10039,14817,21344,10939
,,,,,,,,185,11593,18137,10616,16157,22962,11207
,,,,,,,,186,12427,19440,10860,16654,22815,11370
,,,,,,,,187,12504,19563,10424,16125,22965,10856
,,,,,,,,188,11954,18701,10108,15761,21386,10695
,,,,,,,,189,11751,18385,9791,15363,20814,10313
,,,,,,,,190,11262,17619,9245,14682,19558,9834
,,,,,,,,191,10719,16768,8790,14205,18597,9444
,,,,,,,,192,9979,15611,8213,13568,17472,8801
,,,,,,,,193,9301,14550,8012,13165,16533,8907
,,,,,,,,194,8907,13936,7702,12848,16176,8937
,,,,,,,,195,8590,13439,7648,12659,15446,8817
,,,,,,,,196,8278,12950,7620,12489,15135,8755
,,,,,,,,197,8079,12640,7757,12560,15236,8753
,,,,,,,,198,7840,11603,7861,12695,15766,8504
,,,,,,,,199,6111,8889,8145,12808,15609,8256
,,,,,,,,200,5341,7914,8515,12461,16991,8417
,,,,,,,,201,5189,7294,8708,12261,17686,8598
,,,,,,,,202,5396,7809,8888,12332,18697,8723
,,,,,,,,203,6365,8713,9178,12642,18919,9207
,,,,,,,,204,8204,10424,9384,12968,20099,9349
,,,,,,,,205,9160,11796,9448,12798,20215,9715
,,,,,,,,206,9867,14030,9696,13380,20650,10072
,,,,,,,,207,10480,16227,9857,14119,21573,10702
,,,,,,,,208,10306,16124,10178,15465,21432,11436
,,,,,,,,209,11137,17424,10739,17040,22966,11676
,,,,,,,,210,12260,19179,11116,17897,23152,11936
,,,,,,,,211,12462,19496,10702,17591,23335,11451
,,,,,,,,212,12076,18891,10383,17136,22036,11166
,,,,,,,,213,11871,18573,9903,16446,21323,10731
,,,,,,,,214,11248,17598,9193,15345,19847,10086
,,,,,,,,215,10414,16292,8565,14371,18187,9796
,,,,,,,,216,9660,15113,8210,13484,16891,9838
,,,,,,,,217,9376,14668,8365,13294,16452,10132
,,,,,,,,218,9128,14279,8101,13135,16235,10101
,,,,,,,,219,8924,13962,8088,13120,15699,9949
,,,,,,,,220,8632,13505,8139,13268,15399,10000
,,,,,,,,221,8561,13394,8425,13850,15787,10012
,,,,,,,,222,8725,13616,8712,14221,16812,9652
,,,,,,,,223,8798,13437,9275,14187,17310,9610
,,,,,,,,224,9440,13982,9721,13543,18901,9380
,,,,,,,,225,9974,14367,9918,13112,19255,9628
,,,,,,,,226,10486,15083,10084,13148,19870,9762
,,,,,,,,227,10494,15115,10319,13377,19829,10167
,,,,,,,,228,10987,15397,10433,13752,20607,10357
,,,,,,,,229,11482,16281,10627,14427,20920,10946
,,,,,,,,230,12100,18124,11196,15857,21789,12050
,,,,,,,,231,13089,20366,11345,16608,23653,12525
,,,,,,,,232,12933,20233,11229,16993,23438,12487
,,,,,,,,233,12585,19688,11253,17753,23548,12100
,,,,,,,,234,13163,20593,11368,18445,23145,12047
,,,,,,,,235,13316,20832,10892,18041,23254,11462
,,,,,,,,236,12929,20226,10501,17571,21942,11049
,,,,,,,,237,12469,19507,10190,16870,20996,10611
,,,,,,,,238,11934,18670,9427,15707,20219,9991
,,,,,,,,239,10970,17161,8728,14866,18656,9593
,,,,,,,,240,10091,15787,8272,14232,17218,9490
,,,,,,,,241,10327,16157,7365,14251,13936,8306
,,,,,,,,242,10134,15854,7305,14045,13832,8113
,,,,,,,,243,9947,15562,7268,13775,13525,8092
,,,,,,,,244,9922,15521,7370,13885,13597,8153
,,,,,,,,245,9958,15502,7664,13947,14257,8299
,,,,,,,,246,9392,13991,8122,13598,15411,8118
,,,,,,,,247,8132,12532,8365,12087,15754,8118
,,,,,,,,248,7042,11364,8446,11270,16324,8352
,,,,,,,,249,6718,11212,8682,11292,16971,8529
,,,,,,,,250,6657,11350,8718,11541,17234,8539
,,,,,,,,251,6767,11612,8732,11490,16968,8676
,,,,,,,,252,7235,12320,8746,11812,17228,8846
,,,,,,,,253,8117,13577,8838,12376,17480,9183
,,,,,,,,254,9581,15645,9080,13326,17771,9920
,,,,,,,,255,11803,18484,9249,14380,18991,10128
,,,,,,,,256,12911,20219,9150,14829,18678,9855
,,,,,,,,257,12221,19119,8927,14567,18023,9639
,,,,,,,,258,11636,18205,9073,14746,17904,9987
,,,,,,,,259,11929,18663,9110,14940,18451,9921
,,,,,,,,260,12208,19100,8951,14919,17863,9648
,,,,,,,,261,12022,18807,8644,14694,17078,9369
,,,,,,,,262,11687,18283,8114,14410,16165,8915
,,,,,,,,263,11123,17402,7729,14188,15076,8630
,,,,,,,,264,10584,16558,7512,14222,14386,8400
,,,,,,,,265,10389,16254,7406,14156,14025,8399
,,,,,,,,266,10269,16066,7360,14159,14007,8175
,,,,,,,,267,10128,15845,7336,13937,13618,8143
,,,,,,,,268,9979,15611,7367,13909,13497,8031
,,,,,,,,269,9937,15487,7561,13982,13846,8191
,,,,,,,,270,9470,14174,7883,13556,14671,7989
,,,,,,,,271,7994,12403,8188,12010,14953,8004
,,,,,,,,272,6827,11108,8327,11224,15770,8285
,,,,,,,,273,6489,10887,8638,11168,16439,8451
,,,,,,,,274,6621,11289,8808,11271,17093,8631
,,,,,,,,275,6901,11818,8898,11316,17124,8759
,,,,,,,,276,7326,12469,8911,11722,17543,8861
,,,,,,,,277,8221,13717,9036,12332,17913,9172
,,,,,,,,278,9592,15596,9282,13480,18218,9784
,,,,,,,,279,11857,18489,9417,14581,19435,9839
,,,,,,,,280,12333,19872,9279,14991,19054,9522
,,,,,,,,281,11825,18499,9024,14465,18297,9367
,,,,,,,,282,11163,17464,9039,14464,17911,9607
,,,,,,,,283,11408,17847,8907,14508,18116,9506
,,,,,,,,284,11702,18308,8758,14471,17386,9298
,,,,,,,,285,11631,18196,8437,14309,16643,9083
,,,,,,,,286,11285,17655,8005,14109,16002,8763
,,,,,,,,287,11037,17268,7696,13935,15133,8510
,,,,,,,,288,10567,16531,7470,14008,14465,8288
,,,,,,,,289,10383,16244,7294,13852,13698,8240
,,,,,,,,290,10120,15832,7235,13833,13570,8133
,,,,,,,,291,9937,15546,7129,13574,13083,7991
,,,,,,,,292,9773,15289,7068,13384,12846,7917
,,,,,,,,293,9631,15016,7076,13054,12859,7832
,,,,,,,,294,8944,13174,7189,12473,12934,7563
,,,,,,,,295,7391,11179,7553,11221,12987,7570
,,,,,,,,296,6012,9575,7746,10285,14260,7709
,,,,,,,,297,5263,8827,7918,9980,14898,7818
,,,,,,,,298,5034,9026,8087,10049,15367,7976
,,,,,,,,299,5274,9939,8206,10288,15457,8275
,,,,,,,,300,5776,10385,8298,10699,16034,8376
,,,,,,,,301,6582,11067,8338,11290,16041,8613
,,,,,,,,302,7746,12591,8474,12397,16363,8910
,,,,,,,,303,9786,15106,8366,13376,17109,9031
,,,,,,,,304,10575,16544,8495,14017,16719,9322
,,,,,,,,305,10668,16691,8751,14396,17269,9449
,,,,,,,,306,10759,16832,9006,14730,17533,9742
,,,,,,,,307,11334,17731,8936,14753,18204,9644
,,,,,,,,308,11593,18136,8738,14693,17610,9338
,,,,,,,,309,11311,17696,8377,14642,16761,9133
,,,,,,,,310,11087,17346,8075,14737,16067,8831
,,,,,,,,311,10695,16733,7740,14524,15219,8474
,,,,,,,,312,10197,15953,7484,14591,14177,8387
,,,,,,,,313,9877,15452,7451,14508,13748,8284
,,,,,,,,314,9519,14892,7304,14317,13246,8217
,,,,,,,,315,9286,14527,7300,14126,12764,8438
,,,,,,,,316,9331,14597,7403,13929,12903,8238
,,,,,,,,317,9059,14138,7500,13522,12891,8318
,,,,,,,,318,8876,12526,7590,12688,13327,7855
,,,,,,,,319,8149,10290,7833,11386,13242,7803
,,,,,,,,320,7376,8945,7910,10494,14559,7520
,,,,,,,,321,6120,8106,7892,10064,14757,7614
,,,,,,,,322,5264,8170,7983,10228,15041,7834
,,,,,,,,323,5709,8529,8117,10641,14932,8143
,,,,,,,,324,7130,9390,8171,11022,15458,8330
,,,,,,,,325,8196,10671,8186,11320,15502,8569
,,,,,,,,326,8422,12420,8263,11958,15616,8946
,,,,,,,,327,9499,14510,8194,12807,16059,9218
,,,,,,,,328,10133,15852,8427,13968,15894,9602
,,,,,,,,329,10475,16388,8774,14644,16833,9707
,,,,,,,,330,10770,16849,9027,15085,17383,9945
,,,,,,,,331,11635,18202,9013,15227,18231,9778
,,,,,,,,332,12110,18946,8815,15150,17815,9496
,,,,,,,,333,11968,18722,8375,14955,16959,9165
,,,,,,,,334,11710,18321,7969,14852,15991,8793
,,,,,,,,335,11320,17711,7592,14527,14899,8368
,,,,,,,,336,10756,16827,7362,14650,13801,8370
,,,,,,,,337,10776,16858,7388,14592,13741,8284
,,,,,,,,338,10578,16549,7311,14579,13447,8307
,,,,,,,,339,10323,16149,7369,14544,13228,8558
,,,,,,,,340,10090,15785,7615,14782,13724,8441
,,,,,,,,341,9804,15330,7980,14889,14294,8683
,,,,,,,,342,9691,14285,8478,14565,15663,8487
,,,,,,,,343,8605,11826,8638,13594,15533,8629
,,,,,,,,344,8607,10899,8779,13132,16453,8623
,,,,,,,,345,8554,10379,8931,13090,16748,8787
,,,,,,,,346,8680,10737,9143,13253,17372,8901
,,,,,,,,347,8742,10983,9198,13266,17225,9087
,,,,,,,,348,9202,11692,9301,13487,17801,9370
,,,,,,,,349,9856,12827,9406,13973,18009,9668
,,,,,,,,350,10751,14747,9665,14962,18447,10407
,,,,,,,,351,11877,17453,9799,15875,19713,10616
,,,,,,,,352,12335,19298,9704,15898,19634,10290
,,,,,,,,353,11941,18682,9542,15665,19192,9974
,,,,,,,,354,11930,18665,9616,15785,18998,10282
,,,,,,,,355,12887,20162,9543,16099,19364,10078
,,,,,,,,356,13320,20839,9299,15973,18695,9795
,,,,,,,,357,13314,20829,8943,15783,17700,9416
,,,,,,,,358,13136,20550,8400,15496,16993,8947
,,,,,,,,359,12589,19694,7972,15138,15678,8677
,,,,,,,,360,12006,18783,7738,15145,14650,8437
,,,,,,,,361,15933,24926,11518,27921,18147,10599
,,,,,,,,362,15838,24778,11367,27213,17517,10504
,,,,,,,,363,15383,24067,11144,26515,17103,10391
