Time_Index,None,pacific_naturalgas,rockies_naturalgas,rockies_uranium,pacific_uranium,pacific_naturalgas_ccs90,pacific_naturalgas_ccs100,rockies_naturalgas_ccs90,rockies_naturalgas_ccs100
357,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
358,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
359,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
360,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
361,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
362,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
363,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
364,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
365,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
366,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
367,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
368,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
369,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
370,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
371,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
372,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
373,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
374,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
375,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
376,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
377,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
378,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
379,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
380,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
381,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
382,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
383,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
384,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
385,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
386,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
387,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
388,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
389,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
390,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
391,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
392,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
393,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
394,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
395,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
396,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
397,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
398,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
399,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
400,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
401,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
402,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
403,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
404,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
405,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
406,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
407,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
408,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
409,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
410,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
411,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
412,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
413,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
414,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
415,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
416,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
417,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
418,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
419,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
420,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
421,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
422,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
423,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
424,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
425,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
426,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
427,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
428,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
429,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
430,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
431,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
432,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
433,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
434,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
435,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
436,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
437,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
438,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
439,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
440,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
441,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
442,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
443,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
444,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
445,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
446,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
447,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
448,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
449,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
450,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
451,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
452,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
453,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
454,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
455,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
456,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
457,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
458,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
459,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
460,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
461,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
462,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
463,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
464,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
465,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
466,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
467,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
468,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
469,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
470,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
471,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
472,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
473,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
474,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
475,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
476,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
477,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
478,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
479,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
480,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
